,No. of Trees,train accuracy,test accuracy,ROC AUC,F1-Score,PR AUC
0,1,0.8592931454290563,78.19831783975211,0.8272292205562438,0.7806724560231575,0.8431038106908633
1,2,0.8625396591160629,79.70340858787074,0.8738358621463211,0.7871896031561848,0.8737163030175309
2,3,0.8829041540618313,82.53652058432935,0.8883180351708511,0.79867313090074,0.8875668390945853
3,4,0.8853390393270862,81.1642319610447,0.8950470948577905,0.8038718598755473,0.8945440399895368
4,5,0.8937504611525123,81.34130146082337,0.8968437147329715,0.8119562792772698,0.8937576738940054
5,6,0.8924223419169187,81.34130146082337,0.8997280472434281,0.8095775920487915,0.8950726820813257
6,7,0.8959639932118351,81.98317839752103,0.9054087506998061,0.8180599016540009,0.9002237729021569
7,8,0.8967018372316092,81.51837096060204,0.9008207778203046,0.8111287039131418,0.894928267311002
8,9,0.8966280528296318,82.11598052235503,0.905633180597686,0.820284697508897,0.9002555173199462
9,10,0.898251309673135,81.98317839752103,0.9071469263139873,0.8165013525698828,0.8998629061267748
10,11,0.8996532133107061,82.18238158477203,0.9086416825650143,0.8204327459290655,0.8996678082952794
11,12,0.899800782114661,81.87250996015936,0.9064718655821353,0.8165733482642777,0.8989163204698866
12,13,0.9009075481443223,82.09384683488268,0.9087716570915813,0.8199421322056533,0.9009959300952313
13,14,0.9014978233601416,81.80610889774236,0.9087713619185459,0.8162717925793472,0.9020209761511346
14,15,0.9020143141739836,82.51438689685702,0.9112426489615321,0.8239750445632799,0.9022979086148117
15,16,0.9010551169482771,82.00531208499336,0.9096853160270103,0.8173444169849471,0.9018901464014679
16,17,0.9035637866155095,82.44798583444002,0.9127311081878048,0.8235817575083426,0.9011279836354311
17,18,0.9020143141739836,82.58078795927402,0.9120738562290858,0.8240554437737536,0.9046181585299587
18,19,0.9028997269977127,82.51438689685702,0.9105533215329712,0.823345259391771,0.9029277556723813
19,20,0.9034162178115547,82.18238158477203,0.911009068699556,0.8201117318435754,0.9021355716282391
20,21,0.902604589389803,82.24878264718902,0.9112574076132998,0.8206618962432916,0.9000858430793015
21,22,0.9040802774293515,82.38158477202302,0.9118333885962849,0.8223214285714286,0.9022374985674911
22,23,0.904006493027374,82.33731739707835,0.9107955602039842,0.8224299065420562,0.9015702967325394
23,24,0.9039327086253965,82.40371845949535,0.91144435053569,0.8226633950479589,0.8997499212443558
24,25,0.9044491994392385,82.53652058432935,0.913591734367882,0.8247056209731171,0.9035010145963929
25,26,0.9035637866155095,82.38158477202302,0.911795901620795,0.8223214285714286,0.9018683311819977
26,27,0.9040802774293515,82.22664895971668,0.911622143093984,0.8212775428444247,0.899775827630308
27,28,0.9048181214491257,82.40371845949535,0.9132529741143087,0.8225842445882616,0.9042645358140146
28,29,0.9047443370471482,82.51438689685702,0.914604374661166,0.8238180196253345,0.9072715047377558
29,30,0.9044491994392385,82.35945108455068,0.9128815480448229,0.8215005599104144,0.9029861557926038
30,31,0.9048919058511031,82.33731739707835,0.9123879203387011,0.8223508459483525,0.9021295719452499
31,32,0.9045967682431933,82.16024789729968,0.9139419079788224,0.8200892857142857,0.9035951320985829
32,33,0.9047443370471482,82.16024789729968,0.9119849107544328,0.8205699020480856,0.9005802574419485
33,34,0.9047443370471482,82.40371845949535,0.9121002250202439,0.8222669349429914,0.9010532261608319
34,35,0.9051870434590128,82.42585214696769,0.9149465786001516,0.8232413178984861,0.9062309792604065
35,36,0.905039474655058,82.07171314741036,0.9110883718550542,0.8191964285714285,0.9013086219642855
36,37,0.9054821810669225,82.60292164674635,0.9152881921930667,0.8247882300490414,0.9033534930913192
37,38,0.9051870434590128,82.31518370960602,0.9124963472336874,0.8216915866993975,0.9005988624141592
38,39,0.9051132590570353,82.42585214696769,0.912467420276223,0.8230049041462327,0.9018134112275248
39,40,0.9051132590570353,82.27091633466136,0.9136764490290283,0.8214046822742476,0.9069652786043392
40,41,0.9053346122629676,82.40371845949535,0.9134964918684748,0.822742474916388,0.9023209791626856
41,42,0.9048181214491257,82.16024789729968,0.9106380361941178,0.8199285075960681,0.8987264856815913
42,43,0.9051870434590128,82.35945108455068,0.913270586105418,0.8221379156438294,0.9018513880094666
43,44,0.9057035342728548,82.27091633466136,0.91341020295114,0.8215638226776565,0.9020169509589686
44,45,0.9054821810669225,82.58078795927402,0.9146266110298291,0.8246825573624416,0.9012878156603781
45,46,0.9055559654688998,82.40371845949535,0.9130737056908377,0.8228214842879429,0.9021892757465886
46,47,0.905408396664945,82.40371845949535,0.9126953922505271,0.8229792919171678,0.9015014330712428
47,48,0.9048919058511031,82.40371845949535,0.9126915550010676,0.8222669349429914,0.9004555191134967
48,49,0.9047443370471482,82.29305002213368,0.9133390662496201,0.821826280623608,0.901332589856237
49,50,0.9056297498708773,82.35945108455068,0.9125465266496975,0.8228495221160258,0.9013231155502245
